"Camera","Start","End","Problem1_from","Problem1_to","Latitude","Longitude","Trap_nights"
"A06",2016-07-07,2016-12-31,NA,NA,-18.94847,34.3112,177
"A08",2016-07-07,2017-01-31,NA,NA,-18.97055,34.31128,208
"A10",2016-07-07,2016-12-21,NA,NA,-18.99254,34.3117,167
"B05",2016-07-05,2017-06-27,2017-01-13,2017-02-23,-18.9376,34.33081,316
"B07",2016-07-05,2017-06-18,NA,NA,-18.95957,34.33033,348
"B09",2016-07-07,2017-06-16,2017-01-10,2017-04-22,-18.98108,34.33122,242
"C06",2016-07-05,2017-06-09,2017-01-07,2017-04-15,-18.94877,34.35125,241
"C08",2016-07-05,2017-06-09,NA,NA,-18.97041,34.35071,339
"D03",2016-06-23,2016-12-27,NA,NA,-18.91569,34.36975,187
"D05",2016-07-06,2017-01-20,NA,NA,-18.93763,34.37036,198
"D07",2016-06-23,2017-06-09,2016-09-21,2016-10-28,-18.95907,34.37054,314
"D09",2016-07-11,2016-12-24,2016-08-07,2016-11-13,-18.98033,34.37106,68
"E02",2016-06-23,2017-02-20,NA,NA,-18.90468,34.39004,242
"E04",2016-07-06,2017-06-12,NA,NA,-18.92648,34.39024,341
"E06",2016-06-25,2017-01-28,NA,NA,-18.94814,34.39065,217
"E08",2016-06-25,2017-06-10,2016-12-05,2017-02-16,-18.97007,34.39047,277
"E10",2016-07-08,2017-06-13,NA,NA,-18.99155,34.39053,340
"E12",2016-07-14,2017-06-29,NA,NA,-19.01331,34.39089,350
"F01",2016-07-06,2016-12-04,NA,NA,-18.89402,34.40934,151
"F03",2016-06-25,2016-12-26,NA,NA,-18.91463,34.40951,184
"F05",2016-07-06,2017-01-06,2016-08-02,2016-11-05,-18.93785,34.40944,89
"F07",2016-07-05,2017-03-06,NA,NA,-18.95938,34.41,244
"F09",2016-09-09,2017-07-06,2016-12-27,2017-05-17,-18.98049,34.41016,159
"F11",2016-07-08,2017-06-13,2016-12-20,2017-03-16,-19.00232,34.41034,254
"G02",2016-07-06,2016-11-05,NA,NA,-18.90452,34.42932,122
"G04",2016-06-25,2017-06-11,NA,NA,-18.92615,34.42925,351
"G06",2016-07-05,2017-06-10,NA,NA,-18.94765,34.42924,340
"G08",2016-07-12,2017-07-08,2016-12-29,2017-01-04,-18.96947,34.42969,355
"G10",2016-07-08,2017-06-29,NA,NA,-18.99154,34.42987,356
"G12",2016-07-10,2017-03-07,NA,NA,-19.01238,34.43031,240
"H03",2016-07-06,2017-06-12,NA,NA,-18.9152,34.4492,341
"H05",2016-07-05,2017-06-10,NA,NA,-18.93732,34.44904,340
"H07",2016-07-07,2017-06-17,2016-12-27,2017-04-02,-18.95859,34.44962,249
"H09",2016-07-07,2017-06-17,NA,NA,-18.98036,34.44969,345
"H11",2016-07-10,2017-05-17,NA,NA,-19.00162,34.44932,311
"H13",2016-07-10,2017-02-02,NA,NA,-19.02429,34.4497,207
"I04",2016-07-05,2017-06-10,NA,NA,-18.92486,34.4683,340
"I06",2016-07-07,2017-06-17,2016-12-27,2017-04-15,-18.94756,34.46877,236
"I08",2016-07-12,2017-01-08,NA,NA,-18.96937,34.46918,180
"I10",2016-07-12,2017-06-22,2016-12-26,2017-03-27,-18.99097,34.46956,254
"I12",2016-07-10,2017-06-13,2016-12-25,2017-04-27,-19.01319,34.46984,215
"I14",2016-07-12,2017-01-09,NA,NA,-19.03467,34.46753,181
"J03",2016-07-05,2016-12-18,NA,NA,-18.91491,34.4889,166
"J05",2016-07-11,2017-02-08,NA,NA,-18.93744,34.48872,212
"J07",2016-07-07,2017-06-22,2016-12-27,2017-03-15,-18.95831,34.48913,272
"J09",2016-07-12,2017-07-04,2016-12-25,2017-03-01,-18.98038,34.48722,291
"J11",2016-07-12,2016-11-28,NA,NA,-19.00152,34.48963,139
"J13",2016-07-11,2017-01-14,NA,NA,-19.02231,34.489,187
"K04",2016-07-11,2017-02-11,2016-09-24,2016-11-05,-18.92439,34.50628,173
"K06",2016-07-13,2017-07-04,NA,NA,-18.94731,34.50857,356
"K08",2016-07-13,2017-09-04,2016-12-26,2017-04-13,-18.9698,34.50842,310
"K10",2016-07-13,2017-09-04,NA,NA,-18.9911,34.50899,418
"K12",2016-07-11,2017-01-08,NA,NA,-19.01297,34.50941,181
"L05",2016-07-11,2017-01-04,NA,NA,-18.93517,34.52907,177
"L07",2016-07-13,2017-09-04,NA,NA,-18.95881,34.52905,418
"L09",2016-07-13,2016-11-12,NA,NA,-18.97978,34.52872,122
"L11",2016-07-11,2017-06-25,NA,NA,-19.00148,34.52897,349
"L13",2016-07-13,2017-06-25,NA,NA,-19.02311,34.5293,347
"M08",2016-07-11,2017-02-17,NA,NA,-18.96881,34.54853,221
"M10",2016-07-11,2017-03-03,NA,NA,-18.99093,34.54668,235
