"Camera","n_species"
"A06",21
"A08",20
"A10",19
"B05",24
"B07",25
"B09",23
"C06",28
"C08",27
"D03",25
"D05",25
"D07",29
"D09",15
"E02",25
"E04",24
"E06",22
"E08",18
"E10",17
"E12",15
"F01",19
"F03",18
"F05",20
"F07",25
"F09",17
"F11",24
"G02",18
"G04",20
"G06",28
"G08",26
"G10",29
"G12",28
"H03",18
"H05",24
"H07",23
"H09",24
"H11",21
"H13",19
"I04",23
"I06",22
"I08",24
"I10",22
"I12",25
"I14",21
"J03",15
"J05",22
"J07",19
"J09",25
"J11",19
"J13",27
"K04",21
"K06",27
"K08",24
"K10",21
"K12",19
"L05",26
"L07",26
"L09",16
"L11",28
"L13",22
"M08",26
"M10",20
