"Camera","setup_date","first_image_date","last_image_date","retrieval_date","n_nights_total","n_nights_active","n_cameras"
"A06",2016-07-07,2016-07-11,2016-12-31,2016-12-31,177,177,1
"A08",2016-07-07,2016-07-07,2017-01-31,2017-01-31,208,208,1
"A10",2016-07-07,2016-07-07,2016-12-19,2016-12-21,167,167,1
"B05",2016-07-05,2016-07-05,2017-06-23,2017-06-27,357,316,1
"B07",2016-07-05,2016-07-05,2017-06-15,2017-06-18,348,348,1
"B09",2016-07-07,2016-07-09,2017-06-16,2017-06-16,344,242,1
"C06",2016-07-05,2016-07-05,2017-06-08,2017-06-09,339,241,1
"C08",2016-07-05,2016-07-05,2017-06-07,2017-06-09,339,339,1
"D03",2016-06-23,2016-06-24,2016-12-27,2016-12-27,187,187,1
"D05",2016-07-06,2016-07-06,2017-01-17,2017-01-20,198,198,1
"D07",2016-06-23,2016-06-23,2017-06-08,2017-06-09,351,314,1
"D09",2016-07-11,2016-07-11,2016-12-24,2016-12-24,166,68,1
"E02",2016-06-23,2016-06-24,2017-02-20,2017-02-20,242,242,1
"E04",2016-07-06,2016-07-06,2017-06-12,2017-06-12,341,341,1
"E06",2016-06-25,2016-06-27,2017-01-25,2017-01-28,217,217,1
"E08",2016-06-25,2016-06-30,2017-06-09,2017-06-10,350,277,1
"E10",2016-07-08,2016-07-08,2017-06-12,2017-06-13,340,340,1
"E12",2016-07-14,2016-07-15,2017-06-29,2017-06-29,350,350,1
"F01",2016-07-06,2016-07-07,2016-12-04,2016-12-04,151,151,1
"F03",2016-06-25,2016-06-25,2016-12-26,2016-12-26,184,184,1
"F05",2016-07-06,2016-07-06,2017-01-06,2017-01-06,184,89,1
"F07",2016-07-05,2016-07-05,2017-03-06,2017-03-06,244,244,1
"F09",2016-09-09,2016-09-09,2017-05-31,2017-07-06,300,159,1
"F11",2016-07-08,2016-07-08,2017-06-13,2017-06-13,340,254,1
"G02",2016-07-06,2016-07-06,2016-11-04,2016-11-05,122,122,1
"G04",2016-06-25,2016-06-26,2017-06-11,2017-06-11,351,351,1
"G06",2016-07-05,2016-07-06,2017-06-10,2017-06-10,340,340,1
"G08",2016-07-12,2016-07-16,2017-07-08,2017-07-08,361,355,1
"G10",2016-07-08,2016-07-08,2017-06-29,2017-06-29,356,356,1
"G12",2016-07-10,2016-07-10,2017-03-07,2017-03-07,240,240,1
"H03",2016-07-06,2016-07-07,2017-06-12,2017-06-12,341,341,1
"H05",2016-07-05,2016-07-06,2017-06-10,2017-06-10,340,340,1
"H07",2016-07-07,2016-07-11,2017-06-17,2017-06-17,345,249,1
"H09",2016-07-07,2016-07-07,2017-06-17,2017-06-17,345,345,1
"H11",2016-07-10,2016-07-10,2017-05-05,2017-05-17,311,311,1
"H13",2016-07-10,2016-07-18,2016-11-11,2017-02-02,207,207,1
"I04",2016-07-05,2016-07-05,2017-06-10,2017-06-10,340,340,1
"I06",2016-07-07,2016-07-08,2017-05-26,2017-06-17,345,236,1
"I08",2016-07-12,2016-07-12,2017-01-06,2017-01-08,180,180,1
"I10",2016-07-12,2016-07-12,2017-06-22,2017-06-22,345,254,1
"I12",2016-07-10,2016-07-11,2017-06-11,2017-06-13,338,215,1
"I14",2016-07-12,2016-07-12,2016-12-31,2017-01-09,181,181,1
"J03",2016-07-05,2016-07-07,2016-12-17,2016-12-18,166,166,1
"J05",2016-07-11,2016-07-11,2017-02-08,2017-02-08,212,212,1
"J07",2016-07-07,2016-07-08,2017-06-22,2017-06-22,350,272,1
"J09",2016-07-12,2016-07-13,2017-07-04,2017-07-04,357,291,1
"J11",2016-07-12,2016-07-15,2016-11-28,2016-11-28,139,139,1
"J13",2016-07-11,2016-07-14,2017-01-13,2017-01-14,187,187,1
"K04",2016-07-11,2016-07-11,2017-02-10,2017-02-11,215,173,1
"K06",2016-07-13,2016-07-13,2017-07-04,2017-07-04,356,356,1
"K08",2016-07-13,2016-07-13,2017-09-04,2017-09-04,418,310,1
"K10",2016-07-13,2016-07-14,2017-09-01,2017-09-04,418,418,1
"K12",2016-07-11,2016-07-11,2017-01-07,2017-01-08,181,181,1
"L05",2016-07-11,2016-07-11,2017-01-03,2017-01-04,177,177,1
"L07",2016-07-13,2016-07-14,2017-09-04,2017-09-04,418,418,1
"L09",2016-07-13,2016-07-14,2016-11-12,2016-11-12,122,122,1
"L11",2016-07-11,2016-07-12,2017-06-24,2017-06-25,349,349,1
"L13",2016-07-13,2016-07-14,2017-06-24,2017-06-25,347,347,1
"M08",2016-07-11,2016-07-11,2017-02-16,2017-02-17,221,221,1
"M10",2016-07-11,2016-08-08,2017-03-03,2017-03-03,235,235,1
